States,all_ev_registration,population,law_and_incentive,median_household_income,environment_score,infrastructure_port,fips,ID
Alabama,4750,5056005,12,53913,36.11,480,01,AL
Alaska,1290,731721,8,77845,40.91,81,02,AK
Arizona,40740,7408017,30,69056,49.54,1952,04,AZ
Arkansas,2390,3042231,9,52528,48.89,412,05,AR
California,563070,38959247,145,84907,75.46,34185,06,CA
Colorado,37000,5855078,48,82254,67.58,3355,08,CO
Connecticut,13350,3609924,36,83771,72.45,1216,09,CT
Delaware,3010,1012615,13,71091,62.48,271,10,DE
District of Columbia,3700,657185,40,90088,74.70,671,11,DC
Florida,95640,22040323,20,63062,50.27,5644,12,FL
Georgia,34020,10852484,9,66559,54.10,3754,13,GA
Hawaii,14220,1433336,15,84857,75.25,751,15,HI
Idaho,3500,1981332,8,66474,55.72,260,16,ID
Illinois,36520,12518144,24,72205,59.82,2251,17,IL
Indiana,10360,6831167,23,62743,48.61,830,18,IN
Iowa,3660,3196911,15,65600,55.36,523,19,IA
Kansas,4500,2928419,7,64124,50.03,937,20,KS
Kentucky,4220,4519315,6,55573,40.16,399,21,KY
Louisiana,3180,4576882,10,52087,29.57,339,22,LA
Maine,3040,1381441,16,64767,69.60,537,23,ME
Maryland,25630,6157731,40,90203,74.70,2815,24,MD
Massachusetts,30470,6962372,47,89645,71.56,4110,25,MA
Michigan,17460,10032720,27,63498,66.08,1642,26,MI
Minnesota,15000,5702253,32,77720,70.13,1226,27,MN
Mississippi,1310,2940820,9,48716,34.34,281,28,MS
Missouri,10050,6180523,11,61847,55.22,2045,29,MO
Montana,1650,1125473,8,63249,57.58,203,30,MT
Nebraska,2710,1966441,7,66817,56.68,345,31,NE
Nevada,17380,3201212,22,66274,61.18,1209,32,NV
New Hampshire,4000,1405243,14,88465,66.81,305,33,NH
New Jersey,47830,9242109,36,89296,60.10,1610,34,NJ
New Mexico,4150,2113550,23,53992,49.81,397,35,NM
New York,51870,19415392,51,74314,77.72,6547,36,NY
North Carolina,25190,10678831,29,61972,59.57,2287,37,NC
North Dakota,380,905404,7,66519,47.16,147,38,ND
Ohio,21200,11767059,12,62262,55.25,1807,39,OH
Oklahoma,7080,4018931,21,55826,44.94,975,40,OK
Oregon,30290,4259743,41,71562,65.66,2142,41,OR
Pennsylvania,26770,12916089,23,68957,59.11,2438,42,PA
Rhode Island,2550,1094843,18,74008,65.21,521,44,RI
South Carolina,7440,5259222,17,59318,56.44,769,45,SC
South Dakota,680,770221,8,66143,66.76,134,46,SD
Tennessee,12160,7059618,8,59695,52.70,1381,47,TN
Texas,80900,29947238,22,66963,49.60,4946,48,TX
Utah,16480,3426431,21,79449,56.61,1758,49,UT
Vermont,3370,647378,25,72431,78.44,831,50,VT
Virginia,30660,8662151,34,80963,63.73,2507,51,VA
Washington,66810,7765004,44,84247,69.67,6547,53,WA
West Virginia,1010,1773866,10,51248,19.30,266,54,WV
Wisconsin,9330,5903573,21,67125,61.01,881,55,WI
Wyoming,510,581813,9,65204,36.44,169,56,WY
